#-------------- Creating on pcbutt163 @ 2019-02-04 23:36:28.535852
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-04 23:36:28.536063
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.311306E-08 +3.746189E-09
1.0 +1.126947E-08 +6.387043E-09
2.0 +1.072478E-08 +6.093615E-09
3.0 +1.068285E-08 +5.842111E-09
4.0 +1.101806E-08 +6.470896E-09
5.0 +1.080859E-08 +5.380998E-09
6.0 +9.802971E-09 +6.261289E-09
7.0 +1.013817E-08 +6.051695E-09
8.0 +1.105996E-08 +6.177468E-09
9.0 +1.072477E-08 +6.680484E-09
10.0 +1.043147E-08 +7.351173E-09
11.0 +1.059906E-08 +6.890075E-09
12.0 +9.258267E-09 +6.848157E-09
13.0 +1.047338E-08 +6.177448E-09
14.0 +1.026388E-08 +6.973908E-09
15.0 -3.123656E-07 +7.309257E-09
16.0 +9.719171E-09 +6.303218E-09
17.0 +1.022199E-08 +1.003395E-08
18.0 +1.018008E-08 +5.842105E-09
19.0 +1.034767E-08 +9.992041E-09
20.0 +1.018007E-08 +7.099657E-09
21.0 +1.068288E-08 +7.267338E-09
22.0 +9.551576E-09 +7.644599E-09
23.0 +9.383966E-09 +7.183502E-09
24.0 +1.022197E-08 +1.053698E-08
25.0 +9.719177E-09 +7.015814E-09
26.0 +1.085048E-08 +6.680473E-09
27.0 +1.043146E-08 +7.309255E-09
28.0 +1.097616E-08 +7.728434E-09
29.0 +9.425873E-09 +9.027907E-09
30.0 +1.277787E-08 +7.476923E-09
31.0 +1.135327E-08 +7.141583E-09
32.0 +1.273596E-08 +6.428972E-09
33.0 +1.269406E-08 +7.644581E-09
34.0 +1.290356E-08 +6.345119E-09
35.0 +1.457958E-08 +7.099678E-09
36.0 +1.897905E-08 +7.854198E-09
37.0 +2.069695E-08 +7.602693E-09
38.0 +2.547354E-08 +7.476928E-09
39.0 +3.154903E-08 +6.722391E-09
40.0 +4.089208E-08 +6.806220E-09
41.0 +5.354475E-08 +7.979951E-09
42.0 +7.105737E-08 +7.644601E-09
43.0 -2.259260E-07 +7.435011E-09
44.0 +1.333990E-07 +6.806221E-09
45.0 +1.686338E-07 +9.069824E-09
46.0 +2.202081E-07 +8.902161E-09
47.0 +3.110393E-07 +8.776398E-09
48.0 +4.298151E-07 +1.057890E-08
49.0 +5.695808E-07 +1.330358E-08
50.0 +7.923017E-07 +1.410002E-08
50.0 +7.188152E-07 +1.053698E-08
49.0 +4.441015E-07 +4.710306E-09
48.0 +2.828850E-07 +4.165373E-09
47.0 +1.746249E-07 +4.374968E-09
46.0 +1.159702E-07 +6.303221E-09
45.0 +7.227235E-08 +2.991664E-09
44.0 +4.436947E-08 +1.734112E-09
43.0 +3.554491E-07 +7.280674E-10
42.0 +3.455617E-07 +7.699850E-10
41.0 +1.625556E-08 +3.201253E-09
40.0 +1.240076E-08 +4.626480E-09
39.0 +1.240078E-08 +6.009781E-09
38.0 +1.026387E-08 +4.752244E-09
37.0 +1.131137E-08 +5.087583E-09
36.0 +1.026387E-08 +8.105710E-09
35.0 +1.034768E-08 +5.506774E-09
34.0 +1.034767E-08 +5.758277E-09
33.0 +1.064095E-08 +5.842116E-09
32.0 +9.635386E-09 +5.045659E-09
31.0 +1.131137E-08 +4.291118E-09
30.0 +1.114379E-08 +5.255254E-09
29.0 +1.055717E-08 +7.141592E-09
28.0 +8.923084E-09 +5.003748E-09
27.0 +3.324480E-07 +4.919897E-09
26.0 +1.143707E-08 +4.836068E-09
25.0 +1.030578E-08 +4.794156E-09
24.0 +1.064097E-08 +4.710313E-09
23.0 +1.135328E-08 +5.422924E-09
22.0 +1.168848E-08 +6.009781E-09
21.0 +1.139517E-08 +4.542652E-09
20.0 +1.043145E-08 +5.045659E-09
19.0 +1.114377E-08 -5.978879E-09
18.0 +1.076667E-08 +4.500728E-09
17.0 +1.076667E-08 +5.087584E-09
16.0 +1.110186E-08 +4.668397E-09
15.0 +1.139517E-08 +7.644593E-09
14.0 +1.026388E-08 +4.919910E-09
13.0 +1.018007E-08 +3.788109E-09
12.0 +3.337888E-07 +4.416894E-09
11.0 +3.324897E-07 +4.374977E-09
10.0 +1.064096E-08 +4.836075E-09
9.0 +1.168846E-08 +4.416884E-09
8.0 +1.013817E-08 +5.213336E-09
7.0 +9.593471E-09 +4.081545E-09
6.0 +1.131137E-08 +4.919903E-09
5.0 +1.030578E-08 +4.961829E-09
4.0 +1.152086E-08 +4.081539E-09
3.0 +1.122756E-08 +5.171421E-09
2.0 +1.097617E-08 +3.913859E-09
1.0 +1.038958E-08 +4.794150E-09
0.0 +1.164656E-08 +4.291129E-09
#
#----------------------- FOOTER ------------------------------------
# DEV_1 VDS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,4033786,C32   Oct  4 2010 14:20:11/A02  /T/K
# DEV_1 VDS: Serial<id=0xb394d5cc, open=True>(port='/dev/ttyUSB0', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
# DEV_2 VGS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,1322544,C32   Oct  4 2010 14:20:11/A02  /R/J
# DEV_1 VDS: Serial<id=0xb393f80c, open=True>(port='/dev/ttyUSB5', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
#
# ======= ERROR'S @ VDS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
# ======= ERROR'S @ VGS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
#
# ----* zajaczkowksi@mpip-mainz.mpg.de *-------------------------------
# ----- End of file 2019-02-04 23:36:44.289031 created by:/home/mar345/ele/ele/bin/K2400.pyc
