#-------------- Creating on pcbutt163 @ 2019-02-05 05:04:07.328799
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 05:04:07.329049
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.328067E-08 +3.746189E-09
1.0 +1.143708E-08 +4.710301E-09
2.0 +1.068288E-08 +5.967866E-09
3.0 +1.047336E-08 +5.464843E-09
4.0 +1.072478E-08 +5.842109E-09
5.0 +1.043147E-08 +5.800204E-09
6.0 +1.013818E-08 +6.387054E-09
7.0 +1.143706E-08 +5.758269E-09
8.0 +9.425872E-09 +5.674434E-09
9.0 +9.802978E-09 +6.387052E-09
10.0 +9.844873E-09 +6.387054E-09
11.0 +1.164658E-08 +6.680469E-09
12.0 -3.130358E-07 +6.764308E-09
13.0 +1.030577E-08 +5.842102E-09
14.0 +9.844866E-09 +6.051700E-09
15.0 +9.425866E-09 +6.219381E-09
16.0 +9.844868E-09 +6.219369E-09
17.0 +1.022197E-08 +7.057742E-09
18.0 +9.258285E-09 +6.219369E-09
19.0 +1.001246E-08 +6.345128E-09
20.0 +9.509687E-09 +7.099670E-09
21.0 +1.030578E-08 +6.093607E-09
22.0 +9.132595E-09 +6.848157E-09
23.0 +1.038958E-08 +8.063791E-09
24.0 +9.928673E-09 +7.267341E-09
25.0 +1.093426E-08 +6.345132E-09
26.0 +2.974733E-08 +6.303216E-09
27.0 +1.097616E-08 +6.848145E-09
28.0 +9.216382E-09 +6.387057E-09
29.0 +1.281978E-08 +6.051708E-09
30.0 +1.043148E-08 +7.183508E-09
31.0 +1.038957E-08 +7.057748E-09
32.0 +9.928691E-09 +7.854196E-09
33.0 +1.168847E-08 +8.189545E-09
34.0 +1.038958E-08 +6.470890E-09
35.0 +1.093427E-08 +6.931987E-09
36.0 +1.198179E-08 +7.141575E-09
37.0 +1.261026E-08 +7.057740E-09
38.0 +1.416057E-08 +7.351176E-09
39.0 +1.763826E-08 +6.512796E-09
40.0 +2.027796E-08 +6.470870E-09
41.0 +2.555734E-08 +7.644599E-09
42.0 +3.305743E-08 +9.572849E-09
43.0 +4.244224E-08 +7.435003E-09
44.0 +5.723162E-08 +8.566804E-09
45.0 +7.319406E-08 +7.351167E-09
46.0 +9.787100E-08 +6.261287E-09
47.0 +1.269470E-07 +6.428967E-09
48.0 +1.729491E-07 +6.973901E-09
49.0 +2.421617E-07 +7.015826E-09
50.0 +3.139300E-07 +7.938029E-09
50.0 +2.713215E-07 +6.470886E-09
49.0 +1.517077E-07 +5.758277E-09
48.0 +8.777398E-08 +4.626468E-09
47.0 +5.354475E-08 +5.087581E-09
46.0 +3.460764E-08 +4.500728E-09
45.0 +2.161875E-08 +5.758267E-09
44.0 +1.608796E-08 +3.704268E-09
43.0 +1.206557E-08 +5.297172E-09
42.0 +1.248456E-08 +5.381003E-09
41.0 +1.168846E-08 +4.291130E-09
40.0 +1.051527E-08 +5.842107E-09
39.0 +1.034768E-08 +8.524879E-09
38.0 +1.126947E-08 +3.997695E-09
37.0 +1.068288E-08 +6.638563E-09
36.0 +1.026389E-08 +5.171414E-09
35.0 +1.043148E-08 +4.668387E-09
34.0 +1.097617E-08 +4.458801E-09
33.0 +1.361586E-08 +4.752216E-09
32.0 +1.072478E-08 +4.584545E-09
31.0 +9.635377E-09 +5.297156E-09
30.0 +9.970567E-09 +6.177457E-09
29.0 +9.551574E-09 +4.374968E-09
28.0 +1.030576E-08 +4.500723E-09
27.0 +1.101808E-08 +4.333047E-09
26.0 +1.043147E-08 +7.602676E-09
25.0 +9.886779E-09 +4.207294E-09
24.0 +1.043147E-08 +5.674437E-09
23.0 +1.432817E-08 +3.913866E-09
22.0 +1.047339E-08 +5.422921E-09
21.0 +1.122759E-08 +5.297160E-09
20.0 +1.076668E-08 +5.045652E-09
19.0 +1.022198E-08 +8.902154E-09
18.0 +1.085050E-08 +4.877980E-09
17.0 +9.928682E-09 +4.752227E-09
16.0 +1.076668E-08 +4.374971E-09
15.0 +1.068289E-08 +4.039618E-09
14.0 +9.970586E-09 +4.626471E-09
13.0 +1.022199E-08 +4.710313E-09
12.0 +9.928682E-09 +4.291134E-09
11.0 +1.131137E-08 +4.458807E-09
10.0 +9.467785E-09 +4.039620E-09
9.0 +1.089238E-08 +3.788095E-09
8.0 +9.509677E-09 +4.668398E-09
7.0 +1.093428E-08 +4.710312E-09
6.0 +1.068286E-08 +2.907820E-09
5.0 +1.089238E-08 +4.081542E-09
4.0 +1.126946E-08 +4.291135E-09
3.0 +1.043148E-08 +3.830031E-09
2.0 +1.059908E-08 +4.081527E-09
1.0 +1.080857E-08 +4.123454E-09
0.0 +1.064098E-08 +3.997709E-09
#
#----------------------- FOOTER ------------------------------------
# DEV_1 VDS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,4033786,C32   Oct  4 2010 14:20:11/A02  /T/K
# DEV_1 VDS: Serial<id=0xb39125cc, open=True>(port='/dev/ttyUSB0', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
# DEV_2 VGS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,1322544,C32   Oct  4 2010 14:20:11/A02  /R/J
# DEV_1 VDS: Serial<id=0xb390480c, open=True>(port='/dev/ttyUSB5', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
#
# ======= ERROR'S @ VDS
## :STAT:MEAS?   	 16448 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
# ======= ERROR'S @ VGS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
#
# ----* zajaczkowksi@mpip-mainz.mpg.de *-------------------------------
# ----- End of file 2019-02-05 05:04:23.126838 created by:/home/mar345/ele/ele/bin/K2400.pyc
