#-------------- Creating on pcbutt163 @ 2019-02-05 06:44:31.899215
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 06:44:31.899431
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.273598E-08 +2.907819E-09
1.0 +1.173036E-08 +5.297169E-09
2.0 +9.970574E-09 +5.842111E-09
3.0 +9.970575E-09 +5.842118E-09
4.0 +9.635366E-09 +6.135560E-09
5.0 +9.635361E-09 +5.339101E-09
6.0 +9.551572E-09 +5.422934E-09
7.0 +9.048772E-09 +5.884037E-09
8.0 +8.671677E-09 +5.758277E-09
9.0 +9.844884E-09 +7.015838E-09
10.0 +1.043145E-08 +7.644599E-09
11.0 +8.755480E-09 +5.464852E-09
12.0 +1.005437E-08 +5.255254E-09
13.0 +9.467776E-09 +6.345148E-09
14.0 +9.928671E-09 +6.009790E-09
15.0 +1.009627E-08 +6.093639E-09
16.0 +1.047336E-08 +6.512813E-09
17.0 +9.635372E-09 +5.925959E-09
18.0 +9.802974E-09 +6.009798E-09
19.0 +1.005437E-08 +6.554727E-09
20.0 +9.383971E-09 +8.650650E-09
21.0 +1.009628E-08 +6.345142E-09
22.0 +9.509655E-09 +6.261303E-09
23.0 +8.797372E-09 +6.428980E-09
24.0 +9.677281E-09 +6.973917E-09
25.0 +8.462186E-09 +7.351193E-09
26.0 +1.051528E-08 +6.722407E-09
27.0 -3.153406E-07 +6.680492E-09
28.0 +9.719171E-09 +9.866286E-09
29.0 +9.467767E-09 +7.309281E-09
30.0 +9.593476E-09 +7.099684E-09
31.0 +9.509661E-09 +1.045315E-08
32.0 +1.076667E-08 +6.261304E-09
33.0 +1.131135E-08 +7.602690E-09
34.0 +9.467790E-09 +7.518855E-09
35.0 +1.114378E-08 +6.848155E-09
36.0 +1.114377E-08 +6.009794E-09
37.0 +1.713546E-08 +7.476941E-09
38.0 +1.529187E-08 +7.057755E-09
39.0 +1.608796E-08 +9.908215E-09
40.0 +2.057125E-08 +6.512807E-09
41.0 +2.383944E-08 +5.297171E-09
42.0 +2.928644E-08 +7.393092E-09
43.0 +4.240035E-08 +7.644620E-09
44.0 -2.776304E-07 +7.686531E-09
45.0 +6.343228E-08 +7.476945E-09
46.0 +8.425470E-08 +8.650645E-09
47.0 +1.147552E-07 +7.141588E-09
48.0 +1.543053E-07 +7.435021E-09
49.0 +2.052930E-07 +7.099670E-09
50.0 +2.787790E-07 +7.812287E-09
50.0 +2.345367E-07 +5.800199E-09
49.0 +1.322678E-07 +8.147630E-09
48.0 +7.830545E-08 +4.291133E-09
47.0 +4.776307E-08 +5.171432E-09
46.0 +2.966353E-08 +5.590607E-09
45.0 +2.119975E-08 +4.710316E-09
44.0 +1.684216E-08 +5.590611E-09
43.0 +1.177227E-08 +4.500728E-09
42.0 +1.193987E-08 +4.584565E-09
41.0 +1.085048E-08 +4.374971E-09
40.0 +9.509666E-09 +4.458812E-09
39.0 +9.761079E-09 +3.536599E-09
38.0 +1.055717E-08 +4.794153E-09
37.0 +3.341658E-07 +4.291134E-09
36.0 +1.055716E-08 +5.422934E-09
35.0 +9.132579E-09 +4.668404E-09
34.0 +9.509664E-09 +7.351172E-09
33.0 +1.026387E-08 +5.003759E-09
32.0 +1.080858E-08 +6.638565E-09
31.0 +9.048772E-09 +4.961839E-09
30.0 +9.593474E-09 +5.171427E-09
29.0 +9.844856E-09 +4.039630E-09
28.0 +9.258276E-09 +4.207307E-09
27.0 +1.114377E-08 +4.626488E-09
26.0 +1.038957E-08 +5.590609E-09
25.0 +1.034767E-08 +6.051719E-09
24.0 +9.425884E-09 +4.542659E-09
23.0 +1.009626E-08 +4.249224E-09
22.0 +9.928666E-09 +6.009798E-09
21.0 +1.118567E-08 +4.123465E-09
20.0 +1.064097E-08 +5.045679E-09
19.0 +1.072476E-08 +4.668409E-09
18.0 +3.324482E-07 +4.626497E-09
17.0 +1.068286E-08 +4.333050E-09
16.0 +1.122755E-08 +3.955799E-09
15.0 +1.018006E-08 +4.752245E-09
14.0 +1.022197E-08 +4.500730E-09
13.0 +1.005438E-08 +4.752235E-09
12.0 +1.013818E-08 +5.213352E-09
11.0 +1.030579E-08 +3.788115E-09
10.0 +1.143706E-08 +4.542655E-09
9.0 +1.076667E-08 +3.243173E-09
8.0 +1.068287E-08 +4.584563E-09
7.0 +1.022198E-08 +3.452777E-09
6.0 +1.030576E-08 +4.458820E-09
5.0 +1.051526E-08 +3.159339E-09
4.0 +3.122123E-07 +3.368935E-09
3.0 +9.970575E-09 +4.291150E-09
2.0 +1.164657E-08 +3.955785E-09
1.0 +1.131136E-08 +4.291139E-09
0.0 +1.135326E-08 +3.746190E-09
#
#----------------------- FOOTER ------------------------------------
# DEV_1 VDS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,4033786,C32   Oct  4 2010 14:20:11/A02  /T/K
# DEV_1 VDS: Serial<id=0xb38c15cc, open=True>(port='/dev/ttyUSB0', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
# DEV_2 VGS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,1322544,C32   Oct  4 2010 14:20:11/A02  /R/J
# DEV_1 VDS: Serial<id=0xb38b380c, open=True>(port='/dev/ttyUSB5', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
#
# ======= ERROR'S @ VDS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
# ======= ERROR'S @ VGS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
#
# ----* zajaczkowksi@mpip-mainz.mpg.de *-------------------------------
# ----- End of file 2019-02-05 06:44:47.650582 created by:/home/mar345/ele/ele/bin/K2400.pyc
