#-------------- Creating on pcbutt163 @ 2019-02-05 04:32:25.496470
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 04:32:25.496677
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.319686E-08 +4.752235E-09
1.0 +1.168847E-08 +6.093625E-09
2.0 +1.193989E-08 +6.051698E-09
3.0 +9.970575E-09 +6.135557E-09
4.0 +1.080858E-08 +6.303230E-09
5.0 +9.802971E-09 +5.716343E-09
6.0 +1.030578E-08 +6.177471E-09
7.0 +9.593471E-09 +6.470898E-09
8.0 +9.928684E-09 +6.345132E-09
9.0 +1.047336E-08 +6.806237E-09
10.0 +1.051527E-08 +7.770360E-09
11.0 +1.013817E-08 +6.554739E-09
12.0 +1.051529E-08 +6.428976E-09
13.0 +9.258269E-09 +5.800203E-09
14.0 +1.076666E-08 +6.722407E-09
15.0 +9.719189E-09 +5.967875E-09
16.0 +1.034768E-08 +6.261301E-09
17.0 -3.132870E-07 +6.051709E-09
18.0 +9.886769E-09 +6.261287E-09
19.0 +8.964959E-09 +9.740530E-09
20.0 +1.064097E-08 +6.638567E-09
21.0 +9.928671E-09 +6.764322E-09
22.0 +9.132574E-09 +7.518851E-09
23.0 +1.034767E-08 +6.722401E-09
24.0 +8.964982E-09 +6.680493E-09
25.0 +9.467776E-09 +6.848160E-09
26.0 +9.719171E-09 +7.686522E-09
27.0 +9.048781E-09 +6.638569E-09
28.0 +9.258281E-09 +6.848166E-09
29.0 +1.043147E-08 +7.896111E-09
30.0 +9.551576E-09 +8.105710E-09
31.0 -3.145024E-07 +6.931993E-09
32.0 +1.064098E-08 +6.135548E-09
33.0 +1.240077E-08 +8.273375E-09
34.0 +1.001248E-08 +6.722393E-09
35.0 +1.122759E-08 +7.518852E-09
36.0 +1.286165E-08 +6.931998E-09
37.0 +1.298737E-08 +6.219377E-09
38.0 +1.650697E-08 +8.357230E-09
39.0 +1.780586E-08 +7.644607E-09
40.0 +2.182825E-08 +9.237510E-09
41.0 +2.685624E-08 +6.428983E-09
42.0 +3.561315E-08 +8.105710E-09
43.0 +4.348965E-08 +7.267341E-09
44.0 +5.639368E-08 +7.560767E-09
45.0 +7.579165E-08 +6.890066E-09
46.0 +1.007618E-07 +5.297186E-09
47.0 +1.303824E-07 +7.015831E-09
48.0 -1.494586E-07 +8.063788E-09
49.0 +2.397736E-07 +7.057746E-09
50.0 +3.264569E-07 +6.806230E-09
50.0 +2.780249E-07 +7.225417E-09
49.0 +1.549756E-07 +5.800198E-09
48.0 +9.267585E-08 +6.093618E-09
47.0 +5.924262E-08 +5.171424E-09
46.0 +3.603211E-08 +5.087575E-09
45.0 +2.430035E-08 +5.590598E-09
44.0 +1.809915E-08 +5.381018E-09
43.0 +1.457956E-08 +5.045671E-09
42.0 +1.177228E-08 +5.255258E-09
41.0 +1.013818E-08 +5.255256E-09
40.0 +1.336447E-08 +5.003747E-09
39.0 +1.068287E-08 +8.776395E-09
38.0 +9.677274E-09 +4.165371E-09
37.0 +9.006882E-09 +4.249215E-09
36.0 +1.018007E-08 +7.686514E-09
35.0 +1.026387E-08 +5.087580E-09
34.0 +8.168895E-09 +6.638567E-09
33.0 +8.420304E-09 +4.500721E-09
32.0 +1.126948E-08 +5.297182E-09
31.0 +1.034768E-08 +7.728428E-09
30.0 +1.114378E-08 +5.506772E-09
29.0 +1.210747E-08 +4.794162E-09
28.0 +9.886774E-09 +7.393102E-09
27.0 +9.928673E-09 +5.506759E-09
26.0 +1.068286E-08 +5.967878E-09
25.0 +1.038958E-08 +3.997705E-09
24.0 +9.216395E-09 +9.405181E-09
23.0 +1.001247E-08 +4.123453E-09
22.0 +1.156277E-08 +8.231458E-09
21.0 +1.126947E-08 +4.374973E-09
20.0 +9.844872E-09 +5.380999E-09
19.0 +9.970584E-09 +5.842119E-09
18.0 +1.126946E-08 +4.836069E-09
17.0 +9.970563E-09 +4.416877E-09
16.0 +1.164655E-08 +5.171421E-09
15.0 +1.072478E-08 +4.374976E-09
14.0 +1.080857E-08 +4.458810E-09
13.0 +1.118568E-08 +4.458812E-09
12.0 +1.005438E-08 +4.207298E-09
11.0 +1.001248E-08 +4.626483E-09
10.0 +1.047336E-08 +4.291129E-09
9.0 +9.928684E-09 +3.704270E-09
8.0 +1.131136E-08 +4.374971E-09
7.0 +1.001247E-08 +3.913857E-09
6.0 +1.064098E-08 +3.955789E-09
5.0 +9.719153E-09 +3.997706E-09
4.0 +9.719169E-09 +3.117414E-09
3.0 +1.059908E-08 +4.374982E-09
2.0 +9.383969E-09 +4.416889E-09
1.0 +1.072478E-08 +3.368918E-09
0.0 +9.802976E-09 +3.788106E-09
#
#----------------------- FOOTER ------------------------------------
# DEV_1 VDS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,4033786,C32   Oct  4 2010 14:20:11/A02  /T/K
# DEV_1 VDS: Serial<id=0xb388c5cc, open=True>(port='/dev/ttyUSB0', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
# DEV_2 VGS:  KEITHLEY INSTRUMENTS INC.,MODEL 2400,1322544,C32   Oct  4 2010 14:20:11/A02  /R/J
# DEV_1 VDS: Serial<id=0xb387e80c, open=True>(port='/dev/ttyUSB5', baudrate=9600, bytesize=8, parity='N', stopbits=1, timeout=1, xonxoff=0, rtscts=1, dsrdtr=False)
#
# ======= ERROR'S @ VDS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
# ======= ERROR'S @ VGS
## :STAT:MEAS?   	 64 
## :SYST:ERR:ALL? 	 0,"No error" 
## *ESR?   	 0 
## *OPC?   	 1 
## :STAT:OPER?   	 1088 
## :STAT:MEAS?   	 0 
## :STAT:QUES?   	 0 
#
#
# ----* zajaczkowksi@mpip-mainz.mpg.de *-------------------------------
# ----- End of file 2019-02-05 04:32:41.246039 created by:/home/mar345/ele/ele/bin/K2400.pyc
